マーケット,取引種別,価格,数量,合計数,手数料,コスト,損益,日時
btc_jpy,売り,1225000.000000,0.003400,0.000000,0.000000,1238000.000000,-44.200000,2017-12-2 20:45:14,
btc_jpy,買い,1238000.000000,0.009400,0.000000,0.000000,0.000000,0.000000,2017-12-2 22:49:2,
btc_jpy,売り,1240000.000000,0.006000,0.000000,0.000000,1238000.000000,12.000000,2017-12-2 22:51:11,
btc_jpy,売り,1240000.000000,0.003400,0.000000,0.000000,1235000.000000,17.000000,2017-12-2 22:51:11,
btc_jpy,買い,1235000.000000,0.006600,0.000000,0.000000,0.000000,0.000000,2017-12-2 22:54:56,
btc_jpy,売り,1238000.000000,0.003200,0.000000,0.000000,1235000.000000,9.600000,2017-12-2 23:1:0,
btc_jpy,売り,1238000.000000,0.003400,0.000000,0.000000,1238000.000000,0.000000,2017-12-2 23:1:0,
btc_jpy,買い,1238000.000000,0.006400,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:13:28,
btc_jpy,買い,1235000.000000,0.006300,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:26:55,
btc_jpy,買い,1230000.000000,0.007800,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:29:20,
btc_jpy,買い,1227000.000000,0.005200,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:33:51,
btc_jpy,買い,1225000.000000,0.006100,0.000000,0.000000,0.000000,0.000000,2017-12-2 23:36:42,
btc_jpy,売り,1227000.000000,0.003000,0.000000,0.000000,1238000.000000,-33.000000,2017-12-2 23:41:45,
btc_jpy,売り,1227000.000000,0.003100,0.000000,0.000000,1235000.000000,-24.800000,2017-12-2 23:41:45,
btc_jpy,売り,1230000.000000,0.003200,0.000000,0.000000,1235000.000000,-16.000000,2017-12-2 23:43:7,
btc_jpy,売り,1230000.000000,0.002000,0.000000,0.000000,1230000.000000,0.000000,2017-12-2 23:43:7,
btc_jpy,買い,1225000.000000,0.008000,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:3:6,
btc_jpy,売り,1227000.000000,0.005800,0.000000,0.000000,1230000.000000,-17.400000,2017-12-3 0:3:18,
btc_jpy,売り,1227000.000000,0.002200,0.000000,0.000000,1227000.000000,0.000000,2017-12-3 0:3:18,
btc_jpy,買い,1225000.000000,0.008000,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:7:22,
btc_jpy,売り,1227500.000000,0.003000,0.000000,0.000000,1227000.000000,1.500000,2017-12-3 0:7:50,
btc_jpy,売り,1227500.000000,0.005000,0.000000,0.000000,1225000.000000,12.500000,2017-12-3 0:7:50,
btc_jpy,買い,1225000.000000,0.008000,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:11:15,
btc_jpy,売り,1227500.000000,0.001100,0.000000,0.000000,1225000.000000,2.750000,2017-12-3 0:11:28,
btc_jpy,売り,1227500.000000,0.006900,0.000000,0.000000,1225000.000000,17.250000,2017-12-3 0:11:28,
btc_jpy,買い,1225000.000000,0.008000,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:24:11,
btc_jpy,買い,1222000.000000,0.003400,0.000000,0.000000,0.000000,0.000000,2017-12-3 0:51:30,
